YearMonth,price,monthly_avg_temp,monthly_avg_precip
1994-10,1447.9609523809524,78.91780821917808,0.13767123287671232
1994-11,1436.9804545454544,81.02439024390245,0.029390243902439023
1995-01,1468.818095238095,85,0
1995-02,1510.4375,84.8103448275862,0.017758620689655173
1995-03,1484.9360869565216,82.38461538461539,0.09301282051282052
1995-04,1469.1968421052632,82.6734693877551,0.11482993197278911
1995-05,1445.3527272727272,82,0.0679746835443038
1995-06,1437.17,80.18548387096774,0.1642741935483871
1995-07,1364.0133333333333,78.52631578947368,0.06140350877192983
1995-08,1412.9778260869564,77.57142857142857,0.04685714285714286
1995-09,1396.902380952381,78.61111111111111,0.0011111111111111111
1995-10,1394.58,77.8,0
1995-11,1436.5590909090909,83,0
1995-12,1378.81,81.14285714285714,0
1996-01,1349.5413636363637,82.16666666666667,0
1996-02,1369.8395238095238,84.28571428571429,0
1996-03,1338.6009523809523,84,0
1996-04,1456.2795238095237,83.66666666666667,0
1996-05,1524.0204545454544,80.88636363636364,0.22
1996-06,1537.5725,78.9090909090909,0.08590909090909091
1996-07,1495.68,77.10112359550561,0.15820224719101122
1996-08,1499.8831818181818,76.50632911392405,0.10189873417721519
1996-09,1476.2790476190476,77,0.07280701754385965
1996-10,1476.9804347826087,80.46153846153847,7.692307692307692e-4
1996-11,1469.2771428571427,81.25,0.02039473684210526
1996-12,1474.384,80.06896551724138,0.0013793103448275863
1997-01,1428.4795454545454,81.45121951219512,0.018292682926829267
1997-02,1372.742,83.42,0
1997-03,1523.6395,83.2695652173913,0.14704347826086958
1997-04,1571.0095454545453,81.89795918367346,0.19741496598639455
1997-05,1568.2957142857142,81.08536585365853,0.18341463414634146
1997-06,1688.334761904762,78.80346820809248,0.32872832369942195
1997-07,1677.2665217391304,77.36305732484077,0.03159235668789809
1997-08,1652.1214285714286,77.28985507246377,0.04579710144927536
1997-09,1769.745,79.04081632653062,0.09829931972789116
1997-10,1741.384347826087,80.69166666666666,0.10375
1997-11,1694.7575,82.0379746835443,0.0769620253164557
1997-12,1737.240476190476,81.7090909090909,0.04363636363636364
1998-01,1668.147,82.44444444444444,0
1998-02,1640.835,85.59649122807018,0.013684210526315788
1998-03,1719.2122727272726,86.89583333333333,0.0525
1998-04,1726.4952380952382,85.5,0.15435483870967742
1998-05,1794.4185,83.3170731707317,0.17292682926829267
1998-06,1721.8936363636362,80.24324324324324,0.23108108108108108
1998-07,1712.2252173913043,78.2183908045977,0.03770114942528736
1998-08,1683.684761904762,77.6025641025641,0.035
1998-09,1687.3154545454545,78.69444444444444,0.1260185185185185
1998-10,1646.429090909091,80.30208333333333,0.27437500000000004
1998-11,1594.9057142857143,83.02777777777777,0.1540277777777778
1998-12,1514.8463636363635,82.8,0
1999-01,1455.232,82.01886792452831,0
1999-02,1408.4655,83.64583333333333,0
1999-03,1313.2439130434782,83.73469387755102,0
1999-04,1186.1595238095238,82.78378378378379,0.004324324324324324
1999-05,1062.5645,82.64516129032258,0
1999-06,1161.8331818181819,80.45833333333333,0
1999-07,1113.3936363636362,78.18518518518519,0
1999-08,1056.3772727272726,79.5,0
1999-09,1061.375909090909,76.7,0
1999-10,1021.4861904761905,82,0
