YearMonth,Year,Price,Monthly_Avg_Temp,Monthly_Avg_Precip,Production_in_Ton,Exchange_Rate
1994-10,1994,1447.9609523809524,78.91780821917808,0.13767123287671232,288075,0.0995
1994-11,1994,1436.9804545454544,81.02439024390245,0.029390243902439023,288075,0.1023
1995-01,1995,1468.818095238095,85,0,403900,0.105
1995-02,1995,1510.4375,84.8103448275862,0.017758620689655173,403900,0.107
1995-03,1995,1484.9360869565216,82.38461538461539,0.09301282051282052,403900,0.1108
1995-04,1995,1469.1968421052632,82.6734693877551,0.11482993197278911,403900,0.1137
1995-05,1995,1445.3527272727272,82,0.0679746835443038,403900,0.1155
1995-06,1995,1437.17,80.18548387096774,0.1642741935483871,403900,0.1177
1995-07,1995,1364.0133333333333,78.52631578947368,0.06140350877192983,403900,0.1204
1995-08,1995,1412.9778260869564,77.57142857142857,0.04685714285714286,403900,0.1215
1995-09,1995,1396.902380952381,78.61111111111111,0.0011111111111111111,403900,0.1335
1995-10,1995,1394.58,77.8,0,403900,0.1355
1995-11,1995,1436.5590909090909,83,0,403900,0.1425
1995-12,1995,1378.81,81.14285714285714,0,403900,0.1453
1996-01,1996,1349.5413636363637,82.16666666666667,0,403000,0.1501
1996-02,1996,1369.8395238095238,84.28571428571429,0,403000,0.1544
1996-03,1996,1338.6009523809523,84,0,403000,0.158
1996-04,1996,1456.2795238095237,83.66666666666667,0,403000,0.1608
1996-05,1996,1524.0204545454544,80.88636363636364,0.22,403000,0.1632
1996-06,1996,1537.5725,78.9090909090909,0.08590909090909091,403000,0.1665
1996-07,1996,1495.68,77.10112359550561,0.15820224719101122,403000,0.1687
1996-08,1996,1499.8831818181818,76.50632911392405,0.10189873417721519,403000,0.168
1996-09,1996,1476.2790476190476,77,0.07280701754385965,403000,0.1715
1996-10,1996,1476.9804347826087,80.46153846153847,7.692307692307692e-4,403000,0.1723
1996-11,1996,1469.2771428571427,81.25,0.02039473684210526,403000,0.1734
1996-12,1996,1474.384,80.06896551724138,0.0013793103448275863,403000,0.174
1997-01,1997,1428.4795454545454,81.45121951219512,0.018292682926829267,322490,0.1754
1997-02,1997,1372.742,83.42,0,322490,0.1835
1997-03,1997,1523.6395,83.2695652173913,0.14704347826086958,322490,0.191
1997-04,1997,1571.0095454545453,81.89795918367346,0.19741496598639455,322490,0.197
1997-05,1997,1568.2957142857142,81.08536585365853,0.18341463414634146,322490,0.2026
1997-06,1997,1688.334761904762,78.80346820809248,0.32872832369942195,322490,0.2115
1997-07,1997,1677.2665217391304,77.36305732484077,0.03159235668789809,322490,0.213
1997-08,1997,1652.1214285714286,77.28985507246377,0.04579710144927536,322490,0.2185
1997-09,1997,1769.745,79.04081632653062,0.09829931972789116,322490,0.2225
1997-10,1997,1741.384347826087,80.69166666666666,0.10375,322490,0.223
1997-11,1997,1694.7575,82.0379746835443,0.0769620253164557,322490,0.224
1997-12,1997,1737.240476190476,81.7090909090909,0.04363636363636364,322490,0.226
1998-01,1998,1668.147,82.44444444444444,0,409360,0.229
1998-02,1998,1640.835,85.59649122807018,0.013684210526315788,409360,0.23
1998-03,1998,1719.2122727272726,86.89583333333333,0.0525,409360,0.2315
1998-04,1998,1726.4952380952382,85.5,0.15435483870967742,409360,0.2323
1998-05,1998,1794.4185,83.3170731707317,0.17292682926829267,409360,0.233
1998-06,1998,1721.8936363636362,80.24324324324324,0.23108108108108108,409360,0.2329
1998-07,1998,1712.2252173913043,78.2183908045977,0.03770114942528736,409360,0.2348
1998-08,1998,1683.684761904762,77.6025641025641,0.035,409360,0.2325
1998-09,1998,1687.3154545454545,78.69444444444444,0.1260185185185185,409360,0.2325
1998-10,1998,1646.429090909091,80.30208333333333,0.27437500000000004,409360,0.234
1998-11,1998,1594.9057142857143,83.02777777777777,0.1540277777777778,409360,0.235
1998-12,1998,1514.8463636363635,82.8,0,409360,0.234
1999-01,1999,1455.232,82.01886792452831,0,434200,0.2355
1999-02,1999,1408.4655,83.64583333333333,0,434200,0.2365
1999-03,1999,1313.2439130434782,83.73469387755102,0,434200,0.2418
1999-04,1999,1186.1595238095238,82.78378378378379,0.004324324324324324,434200,0.2515
1999-05,1999,1062.5645,82.64516129032258,0,434200,0.2433
1999-06,1999,1161.8331818181819,80.45833333333333,0,434200,0.2551
1999-07,1999,1113.3936363636362,78.18518518518519,0,434200,0.2602
1999-08,1999,1056.3772727272726,79.5,0,434200,0.2647
1999-09,1999,1061.375909090909,76.7,0,434200,0.2706
1999-10,1999,1021.4861904761905,82,0,434200,0.3005
1999-11,1999,922.4631818181819,82.33333333333333,0.15,434200,0.3386
1999-12,1999,918.675,82.2,0,434200,0.3453
2000-01,2000,917.7138095238095,82.6,0.006363636363636364,436600,0.3529
2000-02,2000,859.125238095238,86,0,436600,0.3771
2000-03,2000,932.8795652173914,83.71875,0.0478125,436600,0.4057
2000-04,2000,911.3642105263158,83.93333333333334,0,436600,0.483
2000-05,2000,908.8640909090909,82.1,0,436600,0.4725
2000-06,2000,941.5709090909091,79.36363636363636,0.12848484848484848,436600,0.54
2000-07,2000,936.6861904761905,77.72222222222223,0.026111111111111113,436600,0.6075
2000-08,2000,877.8769565217391,76.71052631578948,0.07657894736842105,436600,0.705
2000-09,2000,883.1228571428571,78.28125,0.02,436600,0.6534
2000-10,2000,878.1218181818182,79.6,0.008,436600,0.725
2000-11,2000,800.8704545454545,81.27027027027027,0.02081081081081081,436600,0.714
2000-12,2000,803.591,81.4,0.05425,436600,0.6825
2001-01,2001,966.5813636363636,81.425,0,389591,0.6899
2001-02,2001,1156.9375,82.88235294117646,0.0027450980392156863,389591,0.7016
2001-03,2001,1124.405909090909,82.83783783783784,0.047837837837837835,389591,0.705
2001-04,2001,1081.6154999999999,83.05882352941177,0,389591,0.7135
2001-05,2001,1079.6263636363635,82.61538461538461,0.04692307692307692,389591,0.76
2001-06,2001,972.1533333333333,79.5,0,389591,0.7149
2001-07,2001,967.1122727272727,77.71428571428571,7.142857142857143e-4,389591,0.715
2001-08,2001,1034.1060869565217,76.80645161290323,0,389591,0.7218
2001-09,2001,1019.7764999999999,76.77777777777777,0,389591,0.709
2001-11,2001,1240.8263636363636,82,0,389591,0.725
2002-01,2002,1384.2163636363637,82,0,340562,0.7325
2002-02,2002,1491.7755,84.12727272727273,0.008363636363636365,340562,0.76
2002-03,2002,1592.0285,83.53125,0.0428125,340562,0.7675
2002-04,2002,1569.2877272727271,83.05,0.1745,340562,0.796
2002-05,2002,1605.2891304347825,82.60975609756098,0.0773170731707317,340562,0.8005
2002-06,2002,1658.655,79.54166666666667,0.050833333333333335,340562,0.7923
2002-07,2002,1868.5952173913042,79.4,0,340562,0.809
2002-08,2002,1960.4681818181818,77.66666666666667,0,340562,0.8163
2002-09,2002,2163.937142857143,78,0,340562,0.8142
2002-10,2002,2205.2621739130436,80.79166666666667,0,340562,0.826
2002-11,2002,1814.065238095238,81.03174603174604,0.06380952380952382,340562,0.8375
2002-12,2002,2022.724,80.88059701492537,5.970149253731343e-4,340562,0.8352
2003-01,2003,2184.728181818182,81.18811881188118,0.015247524752475247,497000,0.8375
2003-02,2003,2239.265,83.46511627906976,0.018372093023255816,497000,0.83
2003-03,2003,1994.7190476190476,84.02985074626865,0.02373134328358209,497000,0.8375
2003-04,2003,1927.6771428571428,82.32786885245902,0.07918032786885246,497000,0.8635
2003-05,2003,1749.7247619047619,82.38888888888889,0.12416666666666668,497000,0.8675
2003-06,2003,1579.1090476190475,78.84615384615384,0.2963076923076923,497000,0.868
2003-07,2003,1560.3130434782609,78.06172839506173,0.05901234567901235,497000,0.845
2003-08,2003,1571.447619047619,77.22727272727273,0.05136363636363636,497000,0.855
2003-09,2003,1631.584090909091,78.72,0.03613333333333334,497000,0.855
2003-10,2003,1481.9343478260869,80.11764705882354,0.30317647058823527,497000,0.8538
2003-11,2003,1511.0339999999999,80.9746835443038,0.10050632911392406,497000,0.88
2003-12,2003,1627.2809523809524,81.62162162162163,0.03986486486486487,497000,0.865
2004-01,2004,1624.2819047619048,81.62903225806451,0.018387096774193548,737000,0.8675
2004-02,2004,1569.1245,82.27906976744185,0.0641860465116279,737000,0.88
2004-03,2004,1504.4265217391303,83.60606060606061,0.04686868686868687,737000,0.8813
2004-04,2004,1437.3509523809523,83.16901408450704,0.06563380281690141,737000,0.885
2004-05,2004,1413.747,81.86538461538461,0.08961538461538461,737000,0.9008
2004-06,2004,1407.965909090909,78.29787234042553,0.03361702127659574,737000,0.9
2004-07,2004,1559.4704545454545,77.1,0.06357142857142857,737000,0.9032
2004-08,2004,1729.215,77.16216216216216,0.06391891891891892,737000,0.9012
2004-09,2004,1540.2886363636362,79.5223880597015,0.12567164179104479,737000,0.901
2004-10,2004,1484.7138095238095,80.10810810810811,0.24716216216216216,737000,0.9
2004-11,2004,1662.226818181818,81.75438596491227,0.06140350877192982,737000,0.902
2004-12,2004,1648.544347826087,81.70873786407768,0.0370873786407767,737000,0.9
